id,name,similar
04bb2b06,Ibrahima-Kone,"['Raúl Jiménez', 'Odsonne Édouard', 'Sergi Guardiola', 'Grejohn Kyei', 'Martin Satriano', 'Ihlas Bebou', 'Lucas Höler', 'Lorenzo Colombo', 'Andrea Pinamonti', 'Dion Drena Beljo']"
04df29a5,Lorenzo-Colombo,"['Odsonne Édouard', 'Ibrahima Koné', 'Martin Satriano', 'Andrea Pinamonti', 'Beto', 'Mama Samba Baldé', 'Krzysztof Piątek', 'Raúl de Tomás', 'Steve Mounié', 'Sergi Guardiola']"
04e17fd5,Youssef-En-Nesyri,"['Ante Budimir', 'Jørgen Strand Larsen', 'Thijs Dallinga', 'Valentín Castellanos', 'Davie Selke', 'Hugo Duro', 'Akor Adams', 'Joselu', 'Mostafa Mohamed', 'Andrea Pinamonti']"
0512a60a,Ismael-Doukoure,
05439de2,David-Alaba,
054849d2,Iago-,"['Pablo Maffeo', 'Danny da Costa', 'Jordan Zemura', 'Matías Viña', 'Rubén Peña', 'Mads Pedersen', 'Josh Doig', 'Valentin Gendrey', 'Zeki Çelik', 'Davide Faraoni']"
056269d7,Oscar-Mingueza,
0562b7f1,Odsonne-Edouard,"['Lorenzo Colombo', 'Ibrahima Koné', 'Mostafa Mohamed', 'Martin Satriano', 'Chris Ramos', 'Yoane Wissa', 'Kevin Behrens', 'Andrea Belotti', 'Ihlas Bebou', 'Sergi Guardiola']"
056d2d95,Christopher-Trimmel,"['Angeliño', 'Lucas Digne', 'Valentino Lazaro', 'Christian Günter', 'Kieran Trippier', 'Pavel Kadeřábek', 'Issiaga Sylla', 'Gonzalo Montiel', 'Alberto Moreno', 'Josip Juranović']"
05d548d8,Mats-Hummels,"['Benjamin Pavard', 'Danilo', 'Patrick Mainka', 'Joël Matip', 'Cristian Romero', 'Yunis Abdelhamid', 'Dan-Axel Zagadou', 'Samuel Gigot', 'Timo Hübers', 'Lucas Martínez Quarta']"
05e19d6a,Franck-Kessie,"['Étienne Capoue', 'Gonzalo Melero', 'Iván Martín', 'Tijjani Reijnders', 'Matheus Nunes', 'Matheus Henrique', 'Hugo Magnetti', 'Mattéo Guendouzi', 'Sean Longstaff', 'Gavi']"
05e8ca6d,Cameron-Archer,"['Sergi Guardiola', 'Mama Samba Baldé', 'Michail Antonio', 'Roger Martí', 'Yoane Wissa', 'Mikel Oyarzabal', 'Evan Ferguson', 'Dion Drena Beljo', 'Ibrahima Koné', 'Hugo Duro']"
0630eb63,Nemanja-Radonjic,"['Abdessamad Ezzalzouli', 'Arnaud Nordin', 'Moussa Diaby', 'Donyell Malen', 'Takuma Asano', 'Lameck Banda', 'Raheem Sterling', 'Harvey Barnes', 'Marcus Rashford', 'Samuel Chukwueze']"
065dc209,Terem-Moffi,"['Ollie Watkins', 'Folarin Balogun', 'Rasmus Højlund', 'Nicolas Jackson', 'Dušan Vlahović', 'Elye Wahi', 'Wissam Ben Yedder', 'Robert Lewandowski', 'Eddie Nketiah', 'Alexander Isak']"
06c48679,Jonathan-Gradit,"['Pierre Kalulu', 'Odilon Kossonou', 'Igor', 'Clément Lenglet', 'Warmed Omari', 'Ethan Ampadu', 'Andy Pelmard', 'Lisandro Martínez', 'Maxence Lacroix', 'Daley Blind']"
06df8256,Benoit-Badiashile,"['Virgil van Dijk', 'Levi Colwill', 'Joël Matip', 'Amir Rrahmani', 'Christopher Wooh', 'Benjamin Pavard', 'Fabian Schär', 'Philipp Lienhart', 'Alessandro Buongiorno', 'Jules Koundé']"
06efa9dc,Sergio-Akieme,"['Ricard Sánchez', 'Deiver Machado', 'Alessandro Zanoli', 'Julian Ryerson', 'Pasquale Mazzocchi', 'Tyronne Ebuehi', 'Rico Henry', 'Miguel Gutiérrez', 'Jérôme Roussillon', 'Óscar Mingueza']"
075fe5a3,Srdan-Babic,"['Sebastiano Luperto', 'Abdul Mumin', 'Germán Pezzella', 'Martin Erlic', 'Sergi Gómez', 'Jonathan Tah', 'Joseph Aidoo', 'Carl Starfelt', 'Domingos Duarte', 'Bamo Meïté']"
07802f7f,Danny-Ings,"['Andrea Belotti', 'Yoane Wissa', 'Yussuf Poulsen', 'Taiwo Awoniyi', 'Raúl Jiménez', 'Roger Martí', 'Olivier Giroud', 'Beto', 'Luis Javier Suárez', 'Odsonne Édouard']"
07c7eb0c,Anthony-Losilla,"['Alexis Blin', 'Ryan Yates', 'Morten Thorsby', 'Leandro Barreiro Martins', 'Tomáš Souček', 'Gonzalo Escalante', 'Lucas Tousart', 'Bryan Cristante', 'Jens Stage', 'Eric Martel']"
07d65234,Anass-Zaroury,
08511d65,Sergio-Ramos,"['Matthijs de Ligt', 'Gleison Bremer', 'Virgil van Dijk', 'Arthur Theate', 'Gabriel Dos Santos', 'Joël Matip', 'Harry Maguire', 'Nico Elvedi', 'Alexsandro Ribeiro', 'Dan-Axel Zagadou']"
08eb3b58,Matias-Vina,"['Davide Faraoni', 'Kelvin Amian', 'Luca Netz', 'Javi Hernández', 'Pablo Maffeo', 'Mitchell Weiser', 'Jonas Hector', 'Kenny Tete', 'Benjamin Henrichs', 'Marcos Acuña']"
091c86e2,Felix-Nmecha,"['Adrien Rabiot', 'Anton Stach', 'Wataru Endo', 'Pape Gueye', 'Mikel Merino', 'Mattias Svanberg', 'Lucas Tousart', 'Marcel Sabitzer', 'Joelinton', 'Pablo Barrios']"
0959c2a2,Federico-Valverde,
0967845b,Fabiano-Parisi,"['Liberato Cacace', 'Rogério', 'Mikkel Desler', 'Jonas Hector', 'Rubén Peña', 'Melvin Bard', 'Kenny Tete', 'Nélson Semedo', 'Antonee Robinson', 'Javi Galán']"
099e666f,Jonjoe-Kenny,"['Luke Thomas', 'Mohamed Youssouf', 'Lukas Kübler', 'Óscar Gil', 'Isaac Carcelen', 'Carlos Neva', 'Nathaniel Clyne', 'Tyrick Mitchell', 'Frederic Guilbert', 'Akim Zedadka']"
0a084b35,Josip-Juranovic,"['Emanuele Valeri', 'Christian Günter', 'Filip Kostić', 'Jérôme Roussillon', 'Leonardo Spinazzola', 'Patrick Ciurria', 'Nahuel Molina', 'Tyronne Ebuehi', 'Adrià Pedrosa', 'Christopher Trimmel']"
0a0cc13c,Sergio-Leon,"['Sergi Guardiola', 'Raúl de Tomás', 'Francesco Caputo', 'Andrea Pinamonti', 'Sergio Camello', 'Michail Antonio', 'Ibrahima Koné', 'Dion Drena Beljo', 'Hugo Duro', 'Yoane Wissa']"
0a3f6cde,Christopher-Antwi-Adjei,"['Álvaro García', 'Nikola Vlašić', 'Morgan Gibbs-White', 'Junya Ito', 'Linton Maina', 'Jack Harrison', 'Mykhailo Mudryk', 'Alexis Saelemaekers', 'Moses Simon', 'Vincenzo Grifo']"
0a447501,Antonio-Sanabria,"['Grejohn Kyei', 'Willian José', 'Borja Iglesias', 'Borja Mayoral', 'Ciro Immobile', 'Arkadiusz Milik', 'Hugo Duro', 'Raúl de Tomás', 'Yoane Wissa', 'Dušan Vlahović']"
0a483542,Giorgos-Kyriakopoulos,"['Andrea Cambiaso', 'Raoul Bellanova', 'Leonardo Spinazzola', 'Alejandro Balde', 'Pasquale Mazzocchi', 'Davide Zappacosta', 'Manuel Lazzari', 'Jim Allevinah', 'Timothy Weah', 'Jérôme Roussillon']"
0a89e877,Benjamin-Henrichs,"['Pedro Porro', 'Vanderson', 'Mitchell Weiser', 'João Cancelo', 'Joakim Mæhle', 'Gabriel Suazo', 'Aitor Ruibal', 'Jonathan Clauss', 'Ridle Baku', 'Pervis Estupiñán']"
0ab1f153,Juan-Cuadrado,"['Andrea Cambiaso', 'Joakim Mæhle', 'Theo Hernández', 'Marius Wolf', 'Miguel Gutiérrez', 'Lorenz Assignon', 'Emanuele Valeri', 'Patrick Ciurria', 'Nicola Zalewski', 'Álex Grimaldo']"
0abc51f2,Jorge-Cuenca,"['Gautier Lloris', 'Rasmus Nicolaisen', 'Guillermo Maripán', 'Timo Hübers', 'Sepp van den Berg', 'Sebastiaan Bornauw', 'Lorenzo Pirola', 'Ko Itakura', 'Willi Orban', 'Germán Pezzella']"
0ae4e09a,Roger-Marti,"['Mounaim El Idrissy', 'Wout Weghorst', 'Hugo Duro', 'Yoane Wissa', 'Raúl Jiménez', 'Sergi Guardiola', 'Lucas Höler', 'Krzysztof Piątek', 'Enes Ünal', 'Evan Ferguson']"
0b2c8585,Raul-Guti,"['Alex Král', 'Sean Longstaff', 'Moussa Sissoko', 'Dejan Ljubicic', 'Gonzalo Melero', 'Ondrej Duda', 'Yunus Musah', 'Djibril Sow', 'Monchu', 'Elvis Rexhbeçaj']"
0b33f6ad,Mohammed-Salisu,"['Ivan Ordets', 'Boubakar Kouyaté', 'Felipe', 'Keven Schlotterbeck', 'Timo Hübers', 'Ethan Pinnock', 'Brendan Chardonnet', 'Andrei Girotto', 'Konstantinos Mavropanos', 'Maximilian Wöber']"
0b4f388a,Breel-Embolo,"['Anthony Martial', 'Alexander Isak', 'Rasmus Højlund', 'Alexandre Lacazette', 'Alexis Sánchez', 'Mama Samba Baldé', 'Cody Gakpo', 'Lorenzo Colombo', 'Odsonne Édouard', 'Ciro Immobile']"
0b5a292a,Mario-Rui,"['Mërgim Vojvoda', 'Philipp Max', 'Hamari Traoré', 'Cristiano Biraghi', 'Andrew Robertson', 'Caio Henrique Oliveira Silva', 'Kostas Tsimikas', 'Quentin Merlin', 'Manu Sánchez', 'Óscar Mingueza']"
0ba976e4,Ansu-Fati,"['João Félix', 'Marcus Rashford', 'Nicolás González', 'Amine Gouiri', 'Zakaria Aboukhlal', 'Harvey Barnes', 'Miguel Almirón', 'Luis Díaz', 'Gaëtan Laborde', 'Christian Pulisic']"
0bc4e720,Manu-Vallejo,
0bdda685,Dexter-Lembikisa,
0be95d34,Romain-Del-Castillo,
0c61c77c,Dodi-Lukebakio,
0c717ae6,Barcia-,
0c7a48f8,Piero-Hincapie,
0cadc46d,Vedat-Muriqi,"['Milan Đurić', 'Juanmi Latasa', 'Philipp Hofmann', 'Krzysztof Piątek', 'Enes Ünal', 'Willian José', 'Dion Drena Beljo', 'Martin Satriano', 'Lucas Höler', 'Raúl Jiménez']"
0cb29e91,Njegos-Petrovic,
0cbc8baa,Jean-Kevin-Duverne,"['Thierry Correia', 'Nélson Semedo', 'Bradley Locko', 'Thibault De Smet', 'Benno Schmitz', 'Jordan Lotomba', 'Fabien Centonze', 'Antonee Robinson', 'Melvin Bard', 'Falaye Sacko']"
0cd31129,Brennan-Johnson,
0cf778df,Chris-Fuhrich,"['Jack Grealish', 'Florian Wirtz', 'Paulo Dybala', 'Jeremie Boga', 'Phil Foden', 'Kingsley Coman', 'Brahim Díaz', 'Nico Williams', 'Leroy Sané', 'Kaoru Mitoma']"
0d7b6576,Elye-Wahi,"['Rasmus Højlund', 'Terem Moffi', 'Callum Wilson', 'Loïs Openda', 'Romelu Lukaku', 'Folarin Balogun', 'Alexander Sørloth', 'Dušan Vlahović', 'Erling Haaland', 'Wissam Ben Yedder']"
0d82903c,Alex-Sandro,"['Alessandro Bastoni', 'Emmanuel Agbadou', 'Facundo Medina', 'Mario Hermoso', 'Edmond Tapsoba', 'Jules Koundé', 'Tuta', 'Nico Schlotterbeck', 'Waldemar Anton', 'Piero Hincapié']"
0d9b2d31,Pedri-,
0da6a13e,Theo-Bongonda,"['Takefusa Kubo', 'Jonathan Bamba', 'Gabriel Veiga', 'Viktor Tsyhankov', 'Abdoulaye Doucouré', 'Dani Rodríguez', 'Romano Schmid', 'Julian Brandt', 'Joe Willock', 'Lee Kang-in']"
0db169ae,Sandro-Tonali,"['Jordan Veretout', 'Ivan Ilić', 'Răzvan Marin', 'Ivan Rakitić', 'Sergi Darder', 'Douglas Luiz', 'Christian Eriksen', 'Marcos Llorente', 'Ramón Terrats', 'Mathias Jensen']"
0e0102eb,Omar-Marmoush,"['Gabriel Jesus', 'Randal Kolo Muani', 'Marcus Thuram', 'Bryan Mbeumo', 'Lautaro Martínez', 'Cody Gakpo', 'Federico Chiesa', 'Darwin Núñez', 'Rodrygo', 'Gerard Moreno']"
0e4fef6e,Lucas-Torro,"['Robert Andrich', 'Nicolas Höfler', 'Alberto Grassi', 'Nemanja Maksimović', 'João Palhinha', 'Baptiste Santamaria', 'Iddrisu Baba', 'Ylber Ramadani', 'Vinicius Souza', 'Rani Khedira']"
0e6bc38c,Eric-Maxim-Choupo-Moting,"['Gabriel Jesus', 'Vitinha', 'Robert Lewandowski', 'Serhou Guirassy', 'Nicolas Jackson', 'Alexandre Lacazette', 'Lautaro Martínez', 'Victor Boniface', 'Omar Marmoush', 'Kylian Mbappé']"
0ed60738,Senne-Lynen,"['Cristian Cásseres Jr.', 'Joris Chotard', 'Will Hughes', 'Salih Özcan', 'Fabinho', 'Mikel Vesga', 'Alberto Grassi', 'Lewis Cook', 'Remo Freuler', 'Walace']"
0f134faf,Mathias-Jensen,"['Sandro Tonali', 'Sergi Darder', 'Aïssa Laïdouni', 'Maxence Caqueret', 'Douglas Luiz', 'Marc Roca', 'Wataru Endo', 'Gerard Gumbau', 'Kevin Stöger', 'Alfred Duncan']"
0f26ffd7,Copete-,"['Javi Sánchez', 'Niklas Stark', 'Moussa Niakhate', 'Abdul Mumin', 'Florent Ogier', 'Giangiacomo Magnani', 'Ohis Felix Uduokhai', 'Isak Hien', 'Illia Zabarnyi', 'Eray Cömert']"
0f59a7bf,Anton-Stach,"['James Garner', 'Felix Nmecha', 'Lucas Robertone', 'Weston McKennie', 'Dominik Kohr', 'Javier Guerra', 'Lucas Tousart', 'Mehdi Bourabia', 'Pablo Barrios', 'Kike Pérez']"
0f8418aa,Ibrahima-Sissoko,"['Weston McKennie', 'Cristian Cásseres Jr.', 'Morten Frendrup', 'Manuel Locatelli', 'Atakan Karazor', 'Morten Hjulmand', 'Vincent Sierro', 'Rubén Alcaraz', 'Cheick Doucouré', 'Edoardo Bove']"
0f86995c,Hianga-Mananga-Mbock,
0fbecd11,Dominik-Kohr,
0ff630d0,Akim-Zedadka,"['Renan Lodi', 'Valentin Gendrey', 'Timothy Castagne', 'Mads Roerslev', 'Luke Thomas', 'Isaac Carcelen', 'Alfonso Espino', 'Jaume Costa', 'Iván Balliu', 'Jonas Föhrenbach']"
102c9665,Alexsandro-Ribeiro,"['Arthur Theate', 'Axel Disasi', 'Christopher Wooh', 'Sinaly Diomande', 'Sergio Ramos', 'Éder Militão', 'Danilo Pereira', 'Ibrahima Konaté', 'Chancel Mbemba', 'Dejan Lovren']"
104b4ad3,Alberth-Elis,
10549b49,Sardar-Azmoun,"['Yussuf Poulsen', 'Arkadiusz Milik', 'Manolo Gabbiadini', 'Harry Kane', 'Joshua Zirkzee', 'Sébastien Haller', 'Ivan Toney', 'Jonas Wind', 'Marvin Ducksch', 'Gerard Moreno']"
10b9fa99,Ethan-Ampadu,
10e7f486,Rogerio-,"['Dodô', 'Manuel Lazzari', 'Fabiano Parisi', 'Hamari Traoré', 'Fran Garcia', 'Andoni Gorosabel', 'Yuri Berchiche', 'Andrew Robertson', 'Mikkel Desler', 'Vincent Le Goff']"
10f0fdd3,Jean-Ricner-Bellegarde,
114bbdee,Loic-Bade,"['Germán Pezzella', 'Ohis Felix Uduokhai', 'Guillermo Maripán', 'Montassar Talbi', 'Gautier Lloris', 'Niklas Stark', 'Cédric Hountondji', 'Srđan Babić', 'Rasmus Nicolaisen', 'Martin Erlic']"
116c35df,Donyell-Malen,"['Marcus Rashford', 'Moussa Diaby', 'Samuel Chukwueze', 'Raheem Sterling', 'Rafael Leão', 'João Félix', 'Gabriel Martinelli', 'Mohamed Salah', 'Zakaria Aboukhlal', 'Vinicius Júnior']"
119b9a8e,Aymeric-Laporte,"['Rúben Dias', 'Adam Webster', 'Andreas Christensen', 'Eric García', 'Manuel Akanji', 'Dayot Upamecano', ""Obite N'Dicka"", 'Kevin Vogt', 'Igor', 'Milan Škriniar']"
11b9265b,Alberto-Moreno,"['Timothy Weah', 'Theo Hernández', 'Kostas Tsimikas', 'Ruben Aguilar', 'Miguel Gutiérrez', 'Matteo Ruggeri', 'Valentino Lazaro', 'Gonzalo Montiel', 'Mërgim Vojvoda', 'Andrew Robertson']"
1238a3f9,Davie-Selke,"['Dominic Calvert-Lewin', 'Youssef En-Nesyri', 'Ante Budimir', 'Andrea Pinamonti', 'Steve Mounié', 'Jørgen Strand Larsen', 'Juanmi Latasa', 'Olivier Giroud', 'Thijs Dallinga', 'Ludovic Ajorque']"
1265a93a,Reece-James,"['João Cancelo', 'Noussair Mazraoui', 'Marius Wolf', 'Pervis Estupiñán', 'Alphonso Davies', 'Giovanni Di Lorenzo', 'Juan Cuadrado', 'Lorenz Assignon', 'Achraf Hakimi', 'Jonathan Clauss']"
129af0db,Alvaro-Morata,"['Alexander Sørloth', 'Jørgen Strand Larsen', 'Cyle Larin', 'Valentín Castellanos', 'Ollie Watkins', 'Eddie Nketiah', 'Erling Haaland', 'Akor Adams', 'Dominic Solanke', 'Victor Osimhen']"
12efd7f9,Martin-Pascual,
130a7a3f,Samu-Castillejo,"['Angelo Fulgini', 'Dominik Szoboszlai', 'Michael Olise', 'Álex Berenguer', 'Aleksandr Golovin', 'Antony', 'Gabriel Strefezza', 'Felipe Anderson', 'Hirving Lozano', 'Bernardo Silva']"
13203c45,Jerome-Roussillon,"['Rico Henry', 'Pasquale Mazzocchi', 'Dimitri Foulquier', 'Tommaso Augello', 'Álex Centelles', 'Mads Pedersen', 'Alejandro Pozo Pozo', 'Adrià Pedrosa', 'Josip Juranović', 'Alfonso Espino']"
13210854,Olivier-Deman,"['Davide Faraoni', 'Matty Cash', 'Emerson Palmieri', 'Matías Viña', 'Zeki Çelik', 'Abner', 'Youssouf Sabaly', 'Diogo Dalot', 'Adrien Truffert', 'Gabriel Suazo']"
132a82f1,Wesley-Fofana,"['Armando Izzo', 'Leonardo Balerdi', 'Pierre Kalulu', 'Igor', 'Edmond Tapsoba', 'Manuel Gulde', 'Nehuén Pérez', 'Nemanja Gudelj', 'Jonathan Gradit', 'Clément Lenglet']"
132ac341,Aridane-Hernandez,"['Erik Palmer-Brown', 'Rodrigo Ely', 'Luiz Felipe', 'Ardian Ismajli', 'Christophe Hérelle', 'Sergi Gómez', 'Norbert Gyömbér', 'Jack Robinson', 'Bram Nuytinck', 'Angelo Ogbonna']"
13ddc856,Takuma-Asano,"['Jérémy Le Douaron', 'Gaëtan Laborde', 'Ermedin Demirović', 'Brennan Johnson', 'Harvey Barnes', 'Arnaud Nordin', 'Amine Gouiri', 'Marius Bülter', 'Jarrod Bowen', 'Marcus Rashford']"
1467af0d,Marco-Verratti,"['Frenkie de Jong', 'Dani Ceballos', 'Thomas Partey', 'Moisés Caicedo', 'Bruno Guimarães', 'Enzo Fernández', 'Jordan Ferri', 'Mateo Kovačić', 'Maxime Lopez', 'Marcelo Brozović']"
148e136f,Remy-Cabella,"['Riyad Mahrez', 'Isco', 'Florian Wirtz', 'Bruno Fernandes', 'James Maddison', 'Jonas Hofmann', 'Julian Brandt', 'Jamal Musiala', 'Michael Olise', 'Raphinha']"
14a7af33,Christian-Gross,"['Soualiho Meïté', 'Ismaël Doukouré', 'Iddrisu Baba', 'Fernando', 'Martin Hongla', 'Omar Mascarell', 'Niklas Dorsch', 'Lassana Coulibaly', 'Lewis Cook', 'Luis Milla']"
15413fa5,Salih-Ozcan,"['Rade Krunić', 'Remo Freuler', 'Julian Weigl', 'Fernando', 'Fabinho', 'Atakan Karazor', 'Stijn Spierings', 'Oriol Romeu', 'Karol Linetty', 'Walace']"
1544f145,Jacob-Ramsey,
15937e17,Eray-Comert,"['Niklas Stark', 'Cédric Hountondji', 'Pablo Marí', 'Guillermo Maripán', 'Issa Diop', 'Gabriel Paulista', 'Matteo Lovato', 'Jan Bednarek', 'Christophe Hérelle', 'Gautier Lloris']"
